file,species
003402ea0,Small-flowered Cranesbill
00442de98,Loose Silky-bent
0268ecbe2,Small-flowered Cranesbill
028329f45,Small-flowered Cranesbill
03100eb7e,Fat Hen
0419f5bbc,Maize
04559c69c,Scentless Mayweed
05675900a,Common Chickweed
0593874ae,Common Chickweed
05ea7f987,Scentless Mayweed
060f69cd9,Sugar beet
0756fd41e,Cleavers
080cea66f,Loose Silky-bent
082314602,Common wheat
0838d0a77,Sugar beet
083a8c7d2,Cleavers
084d21b80,Maize
0865fb4d3,Loose Silky-bent
0907487ed,Common Chickweed
0975602f4,Common wheat
100ef76fb,Fat Hen
1012b652c,Fat Hen
107bd7230,Maize
108bf8703,Common wheat
109e25d2a,Fat Hen
10c34a660,Scentless Mayweed
10c61689b,Scentless Mayweed
10fc19a04,Scentless Mayweed
115808876,Fat Hen
11760cf9f,Cleavers
1188ef167,Small-flowered Cranesbill
11e40532a,Fat Hen
1266ac5cb,Fat Hen
1266e39c7,Loose Silky-bent
1347ac5ac,Sugar beet
134db7c0e,Shepherds Purse
136134853,Common wheat
13726d79d,Fat Hen
143e09ce6,Fat Hen
14719a83e,Loose Silky-bent
1476d787e,Small-flowered Cranesbill
149dbba5f,Fat Hen
149f18d8c,Small-flowered Cranesbill
152cc15e0,Cleavers
15a668fa4,Scentless Mayweed
163de1bde,Common Chickweed
163ffa4d7,Scentless Mayweed
1656d2df4,Black-grass
167cf0978,Small-flowered Cranesbill
178b92275,Loose Silky-bent
17bf55e51,Scentless Mayweed
1804ef033,Fat Hen
180a7bc07,Loose Silky-bent
1816ac2d6,Small-flowered Cranesbill
181fb1703,Loose Silky-bent
1835ba646,Sugar beet
184f64b26,Fat Hen
186660f3e,Common Chickweed
188dcbe7b,Small-flowered Cranesbill
1898398b8,Maize
18dbd6d8c,Scentless Mayweed
190b948d5,Charlock
192bf26cb,Scentless Mayweed
193f4c946,Fat Hen
198f88ef2,Scentless Mayweed
19fb8b2cc,Cleavers
200457edd,Common wheat
207d4e9ce,Fat Hen
20964b9b7,Cleavers
21114a782,Common Chickweed
211c3f24f,Fat Hen
217b3e661,Loose Silky-bent
217c20421,Black-grass
22429fb19,Small-flowered Cranesbill
22893299b,Common wheat
22d4656ff,Fat Hen
22e662983,Scentless Mayweed
23125a26e,Sugar beet
23686333f,Common Chickweed
237bcb5cb,Cleavers
2412cb19b,Fat Hen
24e93bc82,Scentless Mayweed
2509e5bc5,Fat Hen
252585ad8,Cleavers
2559137f2,Cleavers
25c87a3cc,Maize
26103af9c,Black-grass
